Time,Data,Attack
0,12012,0
1,4634,0
2,335,0
3,328,0
4,355,0
5,318,0
6,152,0
7,57,0
8,66,0
9,63,0
10,42,0
11,69,0
12,68,0
13,59,0
14,66,0
15,60,0
16,72,0
17,69,0
18,56,0
19,45,0
20,19,0
21,22,0
22,32,0
23,16,0
24,20,0
25,40,0
26,19,0
27,24,0
28,20,0
29,21,0
30,18,0
31,34,0
32,26,0
33,31,0
34,31,0
35,22,0
36,34,0
37,67,0
38,29,0
39,31,0
40,18,0
41,19,0
42,33,0
43,19,0
44,16,0
45,26,0
46,19,0
47,21,0
48,19,0
49,17,0
50,16,0
51,23,0
52,26,0
53,11,0
54,22,0
55,12,0
56,44,0
57,25,0
58,18,0
59,22,0
60,13,0
61,19,0
62,12,0
63,36,0
64,27,0
65,13,0
66,26,0
67,19,0
68,21,0
69,24,0
70,19,0
71,19,0
72,14,0
73,10,0
74,14,0
75,19,0
76,8,0
77,4,0
78,13,0
79,14,0
80,27,0
81,17,0
82,18,0
83,23,0
84,23,0
85,13,0
86,18,0
87,27,0
88,18,0
89,11,0
90,22,0
91,11,0
92,19,0
93,11,0
94,3,0
95,8,0
96,64,0
97,25,0
98,14,0
99,28,0
100,20,0
101,24,0
102,12,0
103,22,0
104,15,0
105,20,0
106,30,0
107,22,0
108,23,0
109,10,0
110,22,0
111,19,0
112,24,0
113,31,0
114,23,0
115,45,0
116,14,0
117,41,0
118,32,0
119,21,0
120,41,0
121,26,0
122,21,0
123,28,0
124,23,0
125,27,0
126,22,0
127,24,0
128,31,0
129,36,0
130,47,0
131,26,0
132,28,0
133,39,0
134,23,0
135,37,0
136,26,0
137,25,0
138,29,0
139,27,0
140,25,0
141,21,0
142,19,0
143,20,0
144,26,0
145,25,0
146,24,0
147,28,0
148,25,0
149,17,0
150,37,0
151,21,0
152,29,0
153,26,0
154,25,0
155,18,0
156,1,0
157,12,0
158,12,0
159,5,0
160,14,0
161,6,0
162,5,0
163,4,0
164,3,0
165,8,0
166,14,0
167,4,0
168,10,0
169,10,0
170,9,0
171,11,0
172,13,0
173,15,0
174,16,0
175,34,0
176,53,0
177,63,0
178,20,0
179,8,0
180,7,0
181,7,0
182,10,0
183,4,0
184,6,0
185,14,0
186,9,0
187,6,0
188,5,0
189,14,0
190,4,0
191,4,0
192,19,0
193,14,0
194,5,0
195,8,0
196,9,0
197,19,0
198,17,0
199,8,0
200,7,0
201,10,0
202,1,0
203,11,0
204,10,0
205,9,0
206,6,0
207,22,0
208,13,0
209,34,0
210,12,0
211,10,0
212,12,0
213,10,0
214,11,0
215,8,0
216,5,0
217,13,0
218,8,0
219,13,0
220,6,0
221,3,0
222,17,0
223,6,0
224,12,0
225,15,0
226,6,0
227,6,0
228,6,0
229,11,0
230,7,0
231,4,0
232,10,0
233,5,0
234,8,0
235,8,0
236,9,0
237,10,0
238,7,0
239,13,0
240,7,0
241,7,0
242,10,0
243,7,0
244,10,0
245,9,0
246,9,0
247,9,0
248,62,0
249,10,0
250,10,0
251,6,0
252,8,0
253,10,0
254,3,0
255,10,0
256,18,0
257,10,0
258,8,0
259,10,0
260,9,0
261,8,0
262,9,0
263,6,0
264,9,0
265,8,0
266,5,0
267,23,0
268,35,0
269,75,0
270,10,0
271,17,0
272,8,0
273,21,0
274,11,0
275,13,0
276,4,0
277,10,0
278,12,0
279,12,0
280,9,0
281,6,0
282,11,0
283,16,0
284,1,0
285,8,0
286,3,0
287,1,0
288,4,0
289,7,0
290,2,0
292,19,0
293,34,0
294,75,0
295,89,0
296,17,0
297,12,0
298,6,0
299,26,0
300,24,0
301,59,0
302,10,0
303,9,0
304,4,0
305,6,0
306,15,0
307,11,0
308,1,0
309,9,0
310,2,0
311,106,0
312,15,0
313,2,0
316,6,0
317,2,0
319,1,0
320,4,0
321,8,0
322,4,0
323,1,0
325,2,0
327,2,0
328,2,0
329,2,0
330,2,0
331,2,0
332,4,0
334,2,0
335,9,0
336,4,0
337,2,0
338,2,0
339,3,0
340,2,0
341,4,0
342,4,0
344,7,0
345,7,0
346,6,0
347,4,0
348,5,0
349,2,0
350,5,0
352,5,0
353,7,0
354,8,0
355,2,0
356,4,0
357,2,0
359,2,0
360,12,0
361,16,0
362,16,0
364,2,0
365,8,0
366,4,0
367,3,0
368,2,0
369,4,0
371,3,0
372,1,0
375,7,0
376,2,0
377,4,0
378,5,0
379,2,0
381,2,0
383,2,0
384,11,0
385,7,0
386,8,0
387,2,0
388,4,0
389,2,0
390,5,0
391,2,0
392,2,0
393,6,0
394,3,0
395,4,0
397,8,0
398,2,0
399,2,0
400,4,0
401,2,0
405,6,0
406,2,0
407,8,0
408,2,0
409,10,0
410,28,0
411,7,0
412,3,0
413,10,0
414,10,0
415,19,0
416,21,0
417,14,0
419,4,0
420,4,0
421,8,0
422,2,0
425,7,0
426,5,0
427,6,0
428,5,0
429,2,0
430,2,0
431,1,0
432,2,0
433,6,0
435,3,0
436,563,0
437,3,0
438,8,0
439,18,0
440,14,0
441,6,0
445,6,0
446,2,0
449,2,0
454,2,0
455,8,0
457,1,0
458,2,0
459,4,0
460,2,0
461,4,0
463,1,0
464,8,0
465,23,0
466,18,0
467,6,0
468,2,0
469,4,0
470,12,0
471,16,0
472,14,0
474,2,0
475,7,0
477,2,0
479,2,0
480,2,0
485,6,0
486,1,0
489,2,0
490,1,0
495,5,0
496,8,0
499,13,0
500,35,0
501,40,0
502,3,0
503,3,0
505,15,0
506,38,0
509,2,0
510,2,0
511,4,0
514,2,0
515,5,0
517,2,0
519,4,0
520,2,0
525,7,0
526,3,0
528,4,0
529,2,0
531,2,0
532,2,0
535,7,0
537,1,0
538,12,0
539,17,0
540,15,0
541,14,0
542,11,0
543,14,1
544,18,1
545,22,1
546,16,1
547,15,1
548,16,1
549,18,1
550,15,1
551,16,1
552,15,1
553,17,1
554,15,1
555,22,1
556,10,1
557,14,1
558,11,1
559,15,1
560,12,1
561,25,1
562,25,1
563,19,1
564,14,1
565,16,1
566,13,1
567,11,1
568,13,1
569,12,1
570,19,1
571,19,1
572,18,1
573,19,1
574,19,1
575,19,1
576,19,1
577,19,1
578,18,1
579,20,1
580,18,1
581,155,1
582,225,1
583,430,1
584,692,1
585,367,1
586,532,1
587,671,1
588,754,1
589,907,1
590,1019,1
591,948,1
592,857,1
593,750,1
594,746,1
595,445,1
596,347,1
597,251,1
598,331,1
599,457,1
600,511,1
601,276,1
602,222,1
603,205,1
604,215,1
605,243,1
606,137,1
607,174,1
608,243,1
609,165,1
610,135,1
611,92,1
612,51,1
613,35,1
614,23,1
615,49,1
616,80,1
617,127,1
618,112,1
619,183,1
620,83,1
621,102,1
622,81,1
623,38,1
624,22,1
625,19,1
626,69,1
627,34,1
628,27,1
629,22,1
630,25,1
631,61,1
632,72,1
633,100,1
634,73,1
635,69,1
636,72,1
637,24,1
638,18,1
639,21,1
640,17,1
641,13,1
642,14,1
643,13,1
644,13,1
645,13,1
646,16,1
647,143,1
648,246,1
649,509,1
650,709,1
651,878,1
652,1302,1
653,1489,1
654,1780,1
655,1687,1
656,1701,1
657,1774,1
658,1976,1
659,2194,1
660,2380,1
661,2731,1
662,2800,1
663,3482,1
664,3400,1
665,3648,1
666,3517,1
667,3502,1
668,3708,1
669,4437,1
670,4941,1
671,5534,1
672,5065,1
673,4982,1
674,6710,1
675,6148,1
676,6267,1
677,7486,1
678,7455,1
679,6580,1
680,6098,1
681,6783,1
682,6465,1
683,6804,1
684,7302,1
685,7104,1
686,6779,1
687,6355,1
688,6181,1
689,5513,1
690,6614,1
691,7370,1
692,6822,1
693,7124,1
694,6971,1
695,6217,1
696,6279,1
697,6471,1
698,6423,1
699,7173,1
700,7016,1
701,6652,1
702,6360,1
703,6017,1
704,4492,1
706,6830,1
707,6291,1
708,6335,1
709,6775,1
710,7657,1
711,8168,1
712,6557,1
713,7710,1
714,7863,1
715,6725,1
716,6355,1
717,7584,1
718,9737,1
719,11331,1
720,11785,1
721,10860,1
722,10196,1
723,9426,1
724,8893,1
725,8992,1
726,8573,1
727,8756,1
728,9389,1
729,8751,1
730,8461,1
731,8911,1
732,8273,1
733,7702,1
734,8466,1
735,9521,1
736,9533,1
737,9063,1
738,9598,1
739,9286,1
740,9630,1
741,10026,1
742,11242,1
743,9586,1
744,9250,1
745,9092,1
746,8419,1
747,8132,1
748,7190,1
749,6745,1
750,7154,1
751,7204,1
752,7075,1
753,7375,1
754,7108,1
755,7253,1
756,8233,1
757,6299,1
758,6921,1
759,8885,1
760,9129,1
761,8337,1
762,8343,1
763,8307,1
764,8201,1
765,7648,1
766,7503,1
767,6957,1
768,7307,1
769,8798,1
770,9202,1
771,9788,1
772,10060,1
773,9976,1
774,9476,1
775,10214,1
776,10739,1
777,9889,1
778,9924,1
779,9794,1
780,9988,1
781,9467,1
782,8651,1
783,9061,1
784,9844,1
785,8864,1
786,8703,1
787,8555,1
788,8533,1
789,8401,1
790,9286,1
791,10445,1
792,10351,1
793,10597,1
794,10237,1
795,10137,1
796,9502,1
797,10126,1
798,9470,1
799,9624,1
800,9885,1
801,9704,1
802,8841,1
803,9007,1
804,9126,1
806,6452,1
807,8537,1
808,8404,1
809,8355,1
810,8610,1
811,9092,1
812,9858,1
813,11531,1
814,11381,1
815,10606,1
816,10024,1
817,9665,1
818,9731,1
819,8687,1
820,8285,1
821,8336,1
822,9041,1
823,9104,1
824,9756,1
825,10853,1
826,8732,1
827,5853,1
828,6523,1
829,8071,1
830,8824,1
831,9382,1
832,9666,1
833,10079,1
834,10197,1
835,9864,1
836,10101,1
837,10124,1
838,9338,1
839,9396,1
840,8517,1
841,8909,1
842,8829,1
843,9893,1
844,10318,1
845,9095,1
846,8825,1
847,9126,1
848,9338,1
849,10316,1
850,10202,1
851,10161,1
852,11000,1
853,10267,1
854,10344,1
855,9802,1
856,7849,1
857,6835,1
858,7750,1
859,8731,1
860,8209,1
861,8019,1
862,8368,1
863,7894,1
864,7386,1
865,8098,1
866,7658,1
867,8126,1
868,8255,1
869,6834,1
870,6805,1
871,6754,1
872,7179,1
873,8473,1
874,8652,1
875,9574,1
876,10053,1
877,9476,1
878,8928,1
879,8777,1
880,8899,1
881,9457,1
882,10515,1
883,11482,1
884,8996,1
885,7369,1
886,6112,1
887,6518,1
888,7366,1
889,8197,1
890,8325,1
891,8553,1
892,8925,1
893,9173,1
894,8445,1
895,7548,1
896,6702,1
897,6787,1
898,7930,1
899,6519,1
900,4199,1
901,7236,1
902,7933,1
903,8639,1
904,8599,1
905,9616,1
906,9513,1
907,9368,1
908,8728,1
909,8877,1
910,8661,1
911,7990,1
912,7598,1
913,8293,1
914,8232,1
915,8938,1
916,8817,1
917,7937,1
918,7525,1
919,7752,1
920,7222,1
921,7131,1
922,7160,1
923,7464,1
924,7686,1
925,7917,1
926,8483,1
927,8638,1
928,8390,1
929,8931,1
930,8308,1
931,8818,1
932,9089,1
933,8477,1
934,8025,1
935,7729,1
936,8136,1
937,7002,1
938,7253,1
939,6888,1
940,7347,1
941,7998,1
942,8569,1
943,9014,1
944,8410,1
945,8545,1
946,9465,1
947,9163,1
948,8820,1
949,7605,1
950,7422,1
951,6463,1
952,6355,1
953,7044,1
954,7169,1
955,7061,1
956,6396,1
957,6429,1
958,6119,1
959,7534,1
960,9315,1
961,9321,1
962,8670,1
963,8369,1
964,7398,1
965,7910,1
966,7390,1
967,7473,1
968,7955,1
969,6495,1
970,5490,1
971,6088,1
972,6059,1
973,6408,1
974,7052,1
975,7776,1
976,8224,1
977,8342,1
978,8586,1
979,8442,1
980,8547,1
981,8202,1
982,8995,1
983,8300,1
984,8434,1
985,7847,1
986,7573,1
987,6878,1
988,6311,1
989,6799,1
990,7940,1
991,8537,1
992,9415,1
993,9826,1
994,10166,1
995,9276,1
996,10555,1
997,10535,1
998,11055,1
999,9687,1
1000,10409,1
1001,11102,1
1002,10713,1
1003,10432,1
1004,10137,1
1005,10447,1
1006,10216,1
1007,8906,1
1008,7653,1
1009,8780,1
1010,9004,1
1011,9937,1
1012,9554,1
1013,8819,1
1014,7570,1
1015,7761,1
1016,8104,1
1017,8031,1
1018,8047,1
1019,7477,1
1020,8197,1
1021,7407,1
1022,6996,1
1023,7543,1
1024,7958,1
1025,7336,1
1026,5787,1
1027,5165,1
1028,4868,1
1029,5790,1
1030,7174,1
1031,8628,1
1032,8952,1
1033,8455,1
1034,8655,1
1035,8509,1
1036,8220,1
1037,7993,1
1038,7850,1
1039,8025,1
1040,8292,1
1041,8150,1
1042,8254,1
1043,8411,1
1044,6577,1
1045,5954,1
1046,6173,1
1047,6147,1
1048,6021,1
1049,6834,1
1050,6937,1
1051,7094,1
1052,7162,1
1053,7204,1
1054,7154,1
1055,7918,1
1056,7796,1
1057,7988,1
1058,7448,1
1059,7056,1
1060,7662,1
1061,6927,1
1062,7279,1
1063,8181,1
1064,8245,1
1065,7914,1
1066,6833,1
1067,7256,1
1068,6892,1
1069,6547,1
1070,6419,1
1071,6601,1
1072,6808,1
1073,7195,1
1074,7761,1
1075,7837,1
1076,7718,1
1077,8502,1
1078,7968,1
1079,7605,1
1080,6799,1
1081,6400,1
1082,6823,1
1083,7182,1
1084,7223,1
1085,7473,1
1086,7996,1
1087,8302,1
1088,8691,1
1089,8866,1
1090,8258,1
1091,7805,1
1092,8255,1
1093,8144,1
1094,6806,1
1095,6498,1
1096,6457,1
1097,5916,1
1098,5353,1
1099,4382,1
1100,4921,1
1101,5959,1
1102,6088,1
1103,7842,1
1104,8577,1
1105,9346,1
1106,9123,1
1107,9076,1
1108,8560,1
1109,8461,1
1110,7642,1
1111,7094,1
1112,6416,1
1113,5905,1
1114,5995,1
1115,6275,1
1116,6324,1
1117,6264,1
1118,7029,1
1119,7763,1
1120,7560,1
1121,7938,1
1122,8556,1
1123,8170,1
1124,8589,1
1125,8699,1
1126,4022,1
