,Time,Data,Attack,knn,Exponentially Weighted Moving Average,Cumulative Sum Algorithm,3A Alarm
0,0,12012,0,1,0,0,0
1,1,4634,0,1,1,0,1
2,2,335,0,0,1,0,0
3,3,328,0,0,1,0,0
4,4,355,0,0,1,0,0
5,5,318,0,0,1,0,0
6,6,152,0,0,1,0,0
7,7,57,0,0,1,0,0
8,8,66,0,0,1,0,0
9,9,63,0,0,1,0,0
10,10,42,0,0,1,0,0
11,11,69,0,0,1,0,0
12,12,68,0,0,1,0,0
13,13,59,0,0,1,0,0
14,14,66,0,0,1,0,0
15,15,60,0,0,1,0,0
16,16,72,0,0,1,0,0
17,17,69,0,0,1,0,0
18,18,56,0,0,1,0,0
19,19,45,0,0,1,0,0
20,20,19,0,0,1,0,0
21,21,22,0,0,1,0,0
22,22,32,0,0,1,0,0
23,23,16,0,0,1,0,0
24,24,20,0,0,1,0,0
25,25,40,0,0,1,0,0
26,26,19,0,0,1,0,0
27,27,24,0,0,1,0,0
28,28,20,0,0,1,0,0
29,29,21,0,0,1,0,0
30,30,18,0,0,1,0,0
31,31,34,0,0,1,0,0
32,32,26,0,0,1,0,0
33,33,31,0,0,1,0,0
34,34,31,0,0,1,0,0
35,35,22,0,0,1,0,0
36,36,34,0,0,1,0,0
37,37,67,0,0,0,0,0
38,38,29,0,0,1,0,0
39,39,31,0,0,0,0,0
40,40,18,0,0,1,0,0
41,41,19,0,0,0,0,0
42,42,33,0,0,0,0,0
43,43,19,0,0,0,0,0
44,44,16,0,0,0,0,0
45,45,26,0,0,0,0,0
46,46,19,0,0,0,0,0
47,47,21,0,0,0,0,0
48,48,19,0,0,0,0,0
49,49,17,0,0,0,0,0
50,50,16,0,0,0,0,0
51,51,23,0,0,0,0,0
52,52,26,0,0,0,0,0
53,53,11,0,0,0,0,0
54,54,22,0,0,0,0,0
55,55,12,0,0,0,0,0
56,56,44,0,0,0,0,0
57,57,25,0,0,0,0,0
58,58,18,0,0,0,0,0
59,59,22,0,0,0,0,0
60,60,13,0,0,0,0,0
61,61,19,0,0,0,0,0
62,62,12,0,0,0,0,0
63,63,36,0,0,0,0,0
64,64,27,0,0,0,0,0
65,65,13,0,0,0,0,0
66,66,26,0,0,0,0,0
67,67,19,0,0,0,0,0
68,68,21,0,0,0,0,0
69,69,24,0,0,0,0,0
70,70,19,0,0,0,0,0
71,71,19,0,0,0,0,0
72,72,14,0,0,0,0,0
73,73,10,0,0,0,0,0
74,74,14,0,0,0,0,0
75,75,19,0,0,0,0,0
76,76,8,0,0,0,0,0
77,77,4,0,0,0,0,0
78,78,13,0,0,0,0,0
79,79,14,0,0,0,0,0
80,80,27,0,0,0,0,0
